filepath,duration,analyse_formants,analyse_zero_crossing,analyse_harmonics,get_number_sylls,get_number_words,pauses,analyse_pitch,analyse_pitch_range,analyse_shimmer,analyse_jitter,spectral_slope,analyse_mfcc,mean_spectral_rolloff,get_energy,label
batmanc_108,1.562993197,"[530.4122565628498, 1718.7534693958867, 2512.4923914769643, 3453.628785514977]",0.088149127,4.445623111,3.838788301,3.198990251,0.63979805,83.71451407,152.1268434,0.13913721,0.025747031,-0.161511405,-10.111998,1092.651726,0.029757523,batmanc
batmanc_109,1.670385488,"[513.4564420754276, 1738.5400770929064, 2702.9967692363352, 3701.0580403266285]",0.059007433,2.850449472,2.39465682,1.795992615,0.598664205,207.7241286,172.3426114,0.135005647,0.016848801,-0.126186128,-9.941589,750.8209229,0.024088671,batmanc
batmanc_11,1.664580499,"[765.8617495500207, 1796.7045223338157, 2835.538257994983, 3596.848572409699]",0.209079319,5.905324261,4.205263731,3.60451177,0.600751962,99.2009044,43.89507693,0.125714937,0.014923659,-0.078819254,-12.084237,2727.688599,0.025380108,batmanc
batmanc_110,1.240816327,"[573.2569568520266, 1629.2683560814949, 2915.782736282971, 3139.2742575418283]",0.110532407,3.08427056,3.223684211,2.417763158,0.805921053,142.3765761,162.7833706,0.156019753,0.025025703,-0.193958918,-11.457884,1529.056803,0.032057342,batmanc
batmanc_111,5.461043084,"[668.8186010103861, 1760.5451188967659, 2946.238884352981, 3018.6681109161923]",0.102367336,4.815399115,5.127225618,3.662304013,0.366230401,87.78839486,136.0969088,0.124436943,0.027665636,-0.156014269,-7.26871,1286.654508,0.116554745,batmanc
batmanc_112,2.645623583,"[577.516225660296, 1778.8902432006269, 2581.7897209190355, 3562.195005212841]",0.102063631,4.728161502,5.291758091,3.779827208,1.889913604,83.14012833,374.1085064,0.142300438,0.0317423,-0.129356139,-4.748716,1324.764212,0.043693217,batmanc
batmanc_113,3.263854875,"[650.6165539972974, 1738.3083484732429, 2627.0556662001386, 3527.8794603882047]",0.135354333,1.275105343,4.289406403,3.67663406,0.612772343,85.07145184,71.88540475,0.133585427,0.042421691,-0.108641928,-6.932983,1469.908369,0.051125919,batmanc
batmanc_114,5.838367347,"[654.8588352237786, 1593.0318031059878, 2577.972285944526, 3657.1547446381574]",0.159950862,5.14316141,4.624580537,4.110738255,1.027684564,94.95558095,133.6503544,0.117759842,0.028101993,-0.143559005,-8.897854,1606.14624,0.108354243,batmanc
batmanc_115,6.067664399,"[645.701971617535, 1594.7292554287121, 2604.185722885084, 3662.095453402852]",0.174277269,5.343143947,4.779433748,3.955393447,0.494424181,96.97166702,399.9867337,0.092881672,0.03014062,-0.148919509,-9.643177,1709.341827,0.115639871,batmanc
batmanc_116,2.947482993,"[690.9491470474993, 1792.3543763784296, 2798.0818040168924, 3708.2287404357144]",0.144681195,4.528826457,5.428360414,3.053452733,1.357090103,95.55526999,522.0091915,0.110730282,0.030111113,-0.171424955,-5.5857244,1731.472995,0.067781267,batmanc
batmanc_117,2.982312925,"[655.7882917952777, 1707.029625496186, 2730.7151226051756, 3546.390396406715]",0.12168423,5.006927182,4.359032847,3.688412409,1.005930657,99.46978283,139.7466489,0.1343881,0.033882249,-0.117258602,-8.092387,1370.112645,0.045622298,batmanc
batmanc_118,1.185668934,"[769.958730127996, 1859.8786424662328, 2622.0833546070066, 3271.533517534549]",0.144014799,0.162943846,3.373623011,3.373623011,0.843405753,107.4569236,500.6651005,0.094417055,0.011482847,-0.075604358,-12.519355,1778.559758,0.01827255,batmanc
batmanc_119,1.011519274,"[729.0216522727559, 1711.5928528267534, 2828.564745769816, 3305.6891311235]",0.170021751,3.939103853,1.977223816,2.965835725,0.988611908,101.6575012,141.3757896,0.151360026,0.008737499,-0.090116673,-15.227689,2194.67385,0.016665109,batmanc
batmanc_12,1.577505669,"[822.5152213387895, 1916.0462363453873, 2933.252174198053, 3753.1533502200587]",0.219712201,3.920804474,3.803472861,3.169560718,0.633912144,96.72044079,53.22684798,0.165978787,0.028248232,-0.093858121,-13.945701,2888.299202,0.024632344,batmanc
batmanc_120,6.630748299,"[641.0644677561886, 1600.558655170438, 2645.0058992476847, 3677.966722836657]",0.153940054,5.870379711,5.580064018,4.071938608,0.754062705,90.72230972,509.3536404,0.11382563,0.02727737,-0.128938483,-8.956135,1595.414595,0.118334447,batmanc
batmanc_121,1.925804989,"[753.1375218324044, 1841.8352526207473, 2589.1320237707946, 3502.7911085224637]",0.167051017,2.824109138,4.154107008,3.634843632,0.519263376,84.88401733,162.1280742,0.131909024,0.040523894,-0.122703817,-5.1885605,2050.972739,0.032507513,batmanc
batmanc_122,4.253605442,"[742.4145198367473, 1716.727949727414, 2555.5515144498713, 3484.106152093163]",0.174783458,1.531938086,4.231704197,3.056230809,0.705284033,85.76940254,41.11632846,0.114653024,0.033540745,-0.11552682,-7.8405266,1839.86007,0.066661437,batmanc
batmanc_123,2.448253968,"[813.4562916909967, 1693.1482859332789, 2684.7253377855423, 3493.589850868918]",0.177001953,2.774760815,3.676089212,3.267634855,0.816908714,105.3075975,57.70749739,0.109666656,0.034327273,-0.110041826,-9.96133,2060.382195,0.04321045,batmanc
batmanc_124,4.105578231,"[677.0017337429307, 1549.6809487496314, 2424.821081984575, 3638.993674947825]",0.145069187,5.712142689,4.627849947,2.922852598,0.73071315,99.87315371,472.614084,0.117776197,0.030296266,-0.105344814,-10.603015,1386.215158,0.057371334,batmanc
batmanc_125,2.342675737,"[911.5360092111023, 1890.291252017082, 2912.7476540024322, 3749.7594829190352]",0.137352065,2.721317568,4.69548552,2.98803624,0.42686232,87.35056455,449.8576005,0.161082012,0.027913848,-0.131264745,-4.02561,1705.920048,0.042497335,batmanc
batmanc_126,2.38,"[760.5440429918702, 1722.1300517069399, 2648.1616565361746, 3519.3656304351366]",0.147987144,1.251885543,5.462184874,3.361344538,0.420168067,87.61946435,520.0616017,0.112432876,0.021950243,-0.099171958,-3.0705168,1891.263321,0.036645013,batmanc
batmanc_127,2.350702948,"[732.5012204130713, 1725.2162763506267, 2593.6442477020196, 3460.3838161483154]",0.137197457,1.69142454,4.679451315,3.828641985,0.425404665,79.98921703,366.6623784,0.148431025,0.030742804,-0.084866343,-3.0891235,1680.117618,0.033247078,batmanc
batmanc_128,2.926666667,"[852.4548151256027, 1833.5061294047784, 2867.686614831803, 3739.6378623003966]",0.141578494,1.334177719,5.466970387,3.075170843,1.025056948,105.1837516,476.944309,0.097673816,0.038189606,-0.135054815,-4.0798206,1589.811646,0.05954255,batmanc
batmanc_129,2.694693878,"[727.8036608714252, 1640.9163649175423, 2724.170996718731, 3495.687126581729]",0.156859308,1.172672778,3.710996668,3.339897001,1.113299,85.09979504,522.8363037,0.092010457,0.032151994,-0.168745419,-4.8050942,1903.295898,0.064876972,batmanc
batmanc_13,11.79868481,"[757.3252725043109, 1799.5491137874737, 2660.5567418781116, 3579.8527494054297]",0.17414757,1.5828363,4.576781301,3.051187534,0.678041674,82.24622409,519.5362405,0.124654103,0.029042102,-0.077391231,-7.3447022,2124.743341,0.138372488,batmanc
batmanc_130,1.504943311,"[726.0182712614984, 1779.155714149916, 2580.4632775934856, 3428.1961477984887]",0.140384615,-0.379578503,3.986861138,3.986861138,1.328953713,89.52215698,50.16542585,0.200183717,0.039529499,-0.125462547,-3.375471,1805.973182,0.0321277,batmanc
batmanc_131,1.130521542,"[551.0139903399363, 1580.4322156860376, 2492.96293832071, 3473.499450514403]",0.086615115,2.216744611,3.538189987,2.65364249,2.65364249,82.51729364,72.38895017,0.148177057,0.030669659,-0.093376669,-6.676366,1052.270508,0.014865007,batmanc
batmanc_132,3.104217687,"[653.6794406992495, 1623.2198333394244, 2461.0021386914013, 3412.9908481289563]",0.115216156,3.762341533,5.798562412,3.865708275,0.966427069,83.10652674,498.6310244,0.113012157,0.038797171,-0.134670377,-5.3687057,1418.459582,0.0574639,batmanc
batmanc_133,4.030113379,"[691.853285111435, 1690.546060887671, 2493.689631806877, 3502.365247332169]",0.123709142,6.166365581,5.458903493,3.721979654,0.992527908,95.37989407,54.3040547,0.123843288,0.037329009,-0.122191996,-6.4275703,1496.805125,0.063044694,batmanc
batmanc_134,2.210249433,"[727.0783060680994, 1800.0232989172116, 2656.5609003721474, 3555.819443889621]",0.150390625,4.193221298,4.976813854,4.071938608,1.357312869,89.39620361,44.78298163,0.151711707,0.037247445,-0.121118468,-5.5353503,1777.722931,0.03825023,batmanc
batmanc_135,1.46430839,"[645.3987245913942, 1592.9361682224549, 2522.3473398360484, 3401.9809381675973]",0.101631165,1.062049246,4.780413776,4.780413776,0.682916254,87.00394641,51.26146911,0.108593987,0.030298179,-0.118835559,-5.894981,1119.05365,0.025511108,batmanc
batmanc_136,1.205986395,"[583.5165785854492, 1604.7469893786908, 2398.336394430046, 3375.5205644058406]",0.072275015,2.191309625,4.145983755,4.975180505,0.829196751,105.4969903,34.25761661,0.102869019,0.031771804,-0.099119641,-6.087175,1022.205998,0.016522323,batmanc
batmanc_137,4.886349206,"[683.5403095190514, 1648.087853115181, 2540.012765896998, 3397.612463746929]",0.134950755,2.835246063,4.706990644,3.479080042,0.818607069,85.20793889,56.33686721,0.114153422,0.037309449,-0.149905704,-6.2902555,1574.168996,0.094830629,batmanc
batmanc_138,4.838684807,"[699.6242335795043, 1725.0818881036612, 2661.8872175200813, 3388.716977698404]",0.151769027,3.321211585,5.166693223,4.133354578,0.620003187,82.60682349,467.767965,0.099517627,0.027525688,-0.133786211,-4.3389072,1868.855366,0.09592986,batmanc
batmanc_139,1.748752834,"[539.3292005442523, 1711.2248956124722, 2603.5526719405307, 3604.4290672664847]",0.091077303,5.340299483,4.574688797,3.431016598,1.143672199,92.92507991,74.43045815,0.12852664,0.038329667,-0.141857604,-8.812171,1127.943179,0.03362017,batmanc
batmanc_14,10.49736961,"[828.6603712538723, 1814.6767671572734, 2818.177446344728, 3771.1594441551424]",0.175264944,0.335923731,4.382050141,2.857858788,0.666833717,467.203709,522.4019403,0.100156446,0.023545228,-0.078154927,-6.124875,2063.028217,0.122975462,batmanc
batmanc_140,5.173696145,"[618.7614469595437, 1594.9301688826622, 2570.8322937486505, 3488.2048863947243]",0.139136071,5.009917555,4.832135344,3.479137447,1.352997896,88.51139235,511.5102086,0.120074385,0.033745243,-0.167012071,-7.1563787,1559.322559,0.113472152,batmanc
batmanc_141,4.82829932,"[672.3138167972602, 1659.3278347318471, 2567.66384360647, 3546.539851306832]",0.14242319,4.200619495,4.970694319,3.935133003,0.62133679,93.97172052,70.32082885,0.111519834,0.032432119,-0.129790163,-6.115241,1642.320838,0.082257943,batmanc
batmanc_142,4.561360544,"[833.5414118623972, 1841.8188834519615, 2901.0763253329474, 3689.9691791582836]",0.156649052,1.899212637,4.16542385,2.411561176,1.096164171,255.615332,491.1971215,0.130018993,0.033236061,-0.049524465,-6.3625207,1903.557017,0.034944054,batmanc
batmanc_143,1.893877551,"[641.1501494432066, 1655.2944659436496, 2685.8344638021595, 3584.1458107369945]",0.146514148,4.591935861,6.864224138,4.752155172,1.056034483,87.90967387,42.46356191,0.117080315,0.039106334,-0.141072437,-4.4098105,1715.828649,0.036479966,batmanc
batmanc_144,4.521360544,"[741.7409391597721, 1833.0409238308364, 2712.5803223494345, 3577.842631720381]",0.157679788,2.025041746,5.308136736,4.202274916,0.442344728,81.39162084,453.6871387,0.108937749,0.02911279,-0.102387297,-5.207947,2018.710186,0.068601109,batmanc
batmanc_145,7.398684807,"[799.7257420606936, 1701.2421814650074, 2637.798766295861, 3538.6289979145718]",0.226162997,1.21406613,3.514138077,2.432864822,0.540636627,82.4615306,520.9601389,0.116164089,0.021557202,-0.06773923,-9.239621,2592.253395,0.077624622,batmanc
batmanc_146,3.65569161,"[696.4123351104768, 1815.1521563023732, 2689.879210442195, 3568.6782364548335]",0.148626014,3.406574954,4.10319075,3.2825526,1.0941842,94.28458292,493.7059499,0.112544605,0.030559428,-0.107631723,-6.93176,1711.548933,0.05497722,batmanc
batmanc_147,4.28553288,"[678.5104251770796, 1664.7389939208422, 2663.3922806040864, 3545.0472895535904]",0.174683277,4.363560999,4.200177785,3.733491365,0.933372841,88.47607098,281.4643461,0.111343165,0.032718126,-0.145139675,-6.9736915,1718.349609,0.083202976,batmanc
batmanc_148,4.233287982,"[717.875538092693, 1731.8871036677328, 2649.200067617429, 3575.4691271735423]",0.174105618,4.650096451,4.252014056,4.015791052,1.181115015,94.19315892,62.34003685,0.10731597,0.02907587,-0.101821731,-7.870211,2044.595287,0.062476182,batmanc
batmanc_149,8.174693878,"[729.807547662188, 1754.473874146046, 2653.5977993672577, 3460.3324335322814]",0.159229484,2.574326639,4.281505892,3.302875974,0.611643699,81.92502341,477.9938822,0.115709414,0.026703347,-0.097881253,-5.0610347,1961.321001,0.119485899,batmanc
batmanc_15,4.169342404,"[773.6975441967721, 1763.659371664505, 2666.9535162245093, 3519.784875859835]",0.159247504,1.840923647,5.516457459,3.117997694,0.959383906,80.10268616,27.244586,0.109423403,0.037493004,-0.08615886,-4.503095,1917.412109,0.051377629,batmanc
batmanc_150,14.92403628,"[767.6987182673887, 1716.9817242890845, 2650.0889534687544, 3519.689655304328]",0.198590743,1.684755035,4.355390109,2.613234065,0.469042012,86.8795672,524.8895987,0.111317499,0.029034581,-0.057196296,-7.7075143,2233.97773,0.133700397,batmanc
batmanc_151,6.897369615,"[716.5178279052316, 1691.3901616177889, 2703.2334654576925, 3592.952137776943]",0.154932624,1.508417187,5.364363818,3.624570147,0.579931224,90.13111802,520.9384028,0.106573574,0.029042503,-0.08651947,-5.1752453,1815.400767,0.081973049,batmanc
batmanc_152,10.42535147,"[763.1028344283061, 1743.485667365498, 2673.9602096551052, 3484.2982199366425]",0.154048928,1.324055984,5.275601512,3.165360907,0.575520165,89.78951781,523.2203298,0.110743955,0.029186389,-0.107410983,-6.0681686,1899.621772,0.167524346,batmanc
batmanc_153,7.30122449,"[657.5211458923757, 1617.2372185458491, 2507.0399268739143, 3545.4390953307156]",0.14406157,3.328141126,4.930679785,2.739266547,0.684816637,91.2805384,439.8803622,0.120150028,0.031948797,-0.131490594,-7.0388556,1634.506836,0.124234848,batmanc
batmanc_154,1.905487528,"[688.4823663097677, 1861.5979853602885, 2531.5801521369417, 3551.4269246059052]",0.167668722,2.904433148,4.723200685,3.673600533,0.524800076,83.75627163,50.10727237,0.097164859,0.03522598,-0.122847201,-6.060726,2100.395331,0.031505649,batmanc
batmanc_155,2.256689342,"[592.6723592446835, 1678.9370265425134, 2428.024834144615, 3576.807980219219]",0.11846301,2.440144241,5.760651125,3.545016077,0.44312701,110.0881791,66.40327233,0.097443928,0.030751169,-0.194850429,-4.337014,1482.275391,0.061659551,batmanc
batmanc_156,4.062040816,"[685.9363666116724, 1749.8084484950427, 2617.849398258817, 3579.563842705531]",0.153297991,5.302227497,5.169815113,3.69272508,0.738545016,102.0356967,513.3985119,0.112687722,0.03071754,-0.153045495,-7.366292,1703.030273,0.08533045,batmanc
batmanc_157,2.761723356,"[725.9536897946858, 1822.9492975346445, 3079.9814232888634, 3178.4330965801455]",0.111984638,2.317625617,2.896741986,2.17255649,0.724185497,209.5581749,185.602178,0.145063934,0.044358391,-0.102645176,-15.140664,1201.697495,0.034800047,batmanc
batmanc_158,2.230566893,"[528.9883856373718, 1680.3243295067382, 2626.7856363566093, 3432.6227252075405]",0.098275411,4.580995955,2.689899154,2.241582628,0.448316526,87.3648483,157.9214148,0.126993491,0.016763021,-0.163094409,-8.993929,1273.677865,0.046477784,batmanc
batmanc_159,2.921360544,"[681.6079036997323, 1833.384568182698, 2763.3564129510414, 3309.9566829733926]",0.179245722,2.575282039,4.107675112,3.423062593,1.369225037,86.73215227,136.1529056,0.107578654,0.028352986,-0.131862618,-12.546633,2169.812012,0.054770128,batmanc
batmanc_16,2.242176871,"[854.4920967879856, 1881.5895460189715, 2686.590656191751, 3594.384236328471]",0.169217139,1.058382739,3.121966019,3.121966019,1.783980583,110.5157811,54.60827257,0.092585763,0.038414764,-0.075193916,-8.6658535,1928.331639,0.029279076,batmanc
batmanc_160,1.322086168,"[698.528795514728, 1879.251773382584, 2859.4954715328813, 3571.107253704655]",0.168722588,3.794789806,4.538282108,2.269141054,0.756380351,86.68216774,30.72982589,0.116264273,0.017615144,-0.172619248,-8.790639,2159.931384,0.032975918,batmanc
batmanc_161,2.410521542,"[618.4121861029907, 1886.447668544644, 2689.604763593921, 3447.3101724046023]",0.256380521,6.713651198,1.244543949,1.244543949,0.829695966,100.0335404,315.2378271,0.136207658,0.025230424,-0.090647788,-17.071943,2573.942449,0.029270046,batmanc
batmanc_162,1.560090703,"[518.6426750930037, 1814.4247912571702, 2736.1559965156794, 3335.438953273978]",0.102187213,1.382483731,4.486918605,3.20494186,0.640988372,128.3159984,182.0618241,0.122382319,0.020339592,-0.231919899,-8.511011,1198.259421,0.041964013,batmanc
batmanc_163,3.057777778,"[684.7716337561342, 1838.2784981887987, 2845.998275908118, 3741.0586502647116]",0.173321348,2.049420192,2.61627907,1.962209302,0.654069767,130.2326413,211.0156885,0.170535159,0.021331383,-0.156867807,-13.0802555,2060.499157,0.060708169,batmanc
batmanc_164,1.786485261,"[534.9852252578113, 1561.1500734528763, 2687.8736979894247, 3531.5931145562067]",0.060026887,2.180285561,2.798791633,2.239033306,0.559758327,128.8145715,500.6874685,0.117036484,0.015973843,-0.168736126,-10.871827,712.1337891,0.03758596,batmanc
batmanc_165,1.757460317,"[809.9537683877282, 2018.3170129049768, 3055.159113545441, 4000.353492165358]",0.180233604,1.226311441,2.845014451,2.276011561,1.13800578,82.93267455,342.7060592,0.148435326,0.02232071,-0.108812102,-11.145474,2177.545166,0.030738462,batmanc
batmanc_166,3.438004535,"[662.2108128850572, 1781.6032841041547, 3027.032709756431, 2898.3979889229586]",0.130171193,6.36385006,2.326931195,1.454331997,0.581732799,91.33376788,317.4053548,0.12750977,0.022152778,-0.171321829,-14.924219,1452.479584,0.069136385,batmanc
batmanc_167,3.393333333,"[796.8925549793192, 1750.5299285142592, 2775.351290173421, 3568.4428539826313]",0.170426764,1.02401133,2.652259332,1.768172888,1.178781925,84.12288196,489.3708355,0.167796369,0.030049865,-0.06928137,-7.5985413,2063.964844,0.03832147,batmanc
batmanc_168,1.894693878,"[884.2329767022002, 1892.9286122057026, 3022.178472518562, 3589.7239684210044]",0.169945694,1.961016652,3.694528221,2.111158983,1.055579492,206.0533038,401.3248739,0.10840332,0.025537116,-0.113950929,-6.045223,1866.561071,0.039954883,batmanc
batmanc_169,1.293061224,"[731.4045171497572, 1761.4797251584976, 2765.6686014427346, 3633.280957630761]",0.141741071,0.99336098,3.866792929,3.093434343,0.773358586,88.49526859,17.68118921,0.147100815,0.024568272,-0.069893695,-9.8058815,1770.529175,0.01367752,batmanc
batmanc_17,5.408798186,"[671.248618143661, 1690.6151264906864, 2604.3604077616815, 3556.963687937882]",0.12787101,4.146566852,4.252330963,3.697679098,0.924419775,85.4520184,180.7515877,0.11013246,0.031948115,-0.108423566,-7.9362125,1451.966327,0.082577614,batmanc
batmanc_170,3.93723356,"[724.767935496899, 1822.4064848844691, 2692.6109043448246, 3608.0467481942655]",0.151102941,4.303751139,4.825723369,3.301810726,0.507970881,95.93377182,64.23890747,0.102603146,0.028754257,-0.106532619,-7.6226044,1866.168716,0.064630701,batmanc
batmanc_171,2.639818594,"[624.1197202209289, 1579.8088178895987, 2686.8811673407963, 3572.9211245823067]",0.148527447,6.207837234,4.545766905,3.409325179,1.136441726,100.119181,64.8425468,0.113673619,0.022798057,-0.128502465,-10.988223,1704.239695,0.0448445,batmanc
batmanc_172,3.783401361,"[686.3146993581589, 1656.8972537500354, 2608.4394767545573, 3479.8212545776646]",0.112972704,3.151137047,5.021936133,4.228998849,0.792937284,89.93425473,269.397162,0.150818807,0.039052785,-0.139251529,-6.161684,1445.961195,0.070170926,batmanc
batmanc_173,2.451156463,"[739.8889584012011, 1818.3236574929413, 2716.4786665737224, 3560.6527160425667]",0.20049473,2.923348519,3.671736234,3.263765542,0.815941385,92.63400605,136.1352416,0.105063624,0.03145044,-0.112156742,-6.404906,2249.711868,0.044908526,batmanc
batmanc_174,4.410340136,"[614.8241641257447, 1863.2034737928711, 2948.9513337944436, 3061.0878378354987]",0.116640111,4.392931043,4.761537512,2.94761846,0.453479763,94.94496607,268.8001487,0.137468578,0.027702026,-0.090377622,-12.658904,1690.12978,0.057937728,batmanc
batmanc_175,0.805442177,"[595.5661609391271, 1733.37629397873, 2750.1617937902715, 3514.767487985779]",0.107575335,4.990912552,2.483108108,2.483108108,1.241554054,92.25247986,37.22674998,0.132657784,0.019819457,-0.121766503,-12.679055,1294.145508,0.013824025,batmanc
batmanc_176,0.709659864,"[531.9801691003764, 1505.962650035458, 2493.458381415279, 3275.470175206725]",0.083007813,5.269267528,2.818251534,2.818251534,1.409125767,87.38702061,143.8464801,0.117051258,0.018739243,-0.123173547,-10.82264,1043.318422,0.011711991,batmanc
batmanc_177,6.321360544,"[900.1327244561236, 1935.3416488899124, 2889.9920167968867, 3791.653015172421]",0.193284255,0.336882438,4.429426198,3.796651027,0.949162757,398.9297267,516.2128328,0.081107356,0.03363282,-0.063237597,-6.9607787,2269.583834,0.064759291,batmanc
batmanc_178,1.81260771,"[693.6937935988444, 1676.561771413358, 2562.6015539816112, 3663.7448594601624]",0.190089745,3.187590503,4.965222178,3.861839472,0.551691353,116.150129,101.5226621,0.140525339,0.043894854,-0.11700097,-7.985381,2150.458304,0.02974084,batmanc
batmanc_179,2.343764172,"[642.9642833994533, 1506.632769059731, 2458.6843964744794, 3259.2751318265573]",0.10796817,1.961273431,4.266640867,3.413312693,0.853328173,82.67789661,145.657373,0.134265707,0.031004272,-0.112930198,-7.2140584,1148.828367,0.036944054,batmanc
batmanc_18,11.31333333,"[772.070168195486, 1702.8210683733814, 2608.37002800368, 3516.9710253229982]",0.215407074,1.296186965,4.1543901,2.298173247,0.795521509,83.61124796,504.2297895,0.104442855,0.027559026,-0.059199632,-8.704702,2427.780402,0.092485403,batmanc
batmanc_180,5.684535147,"[715.7470637301143, 1821.8064929529428, 2728.9042535351273, 3423.3144379569176]",0.178844467,4.19367942,4.925644626,3.166485831,0.351831759,95.35785004,119.8004344,0.126679454,0.032089754,-0.112227098,-7.4084134,2168.657227,0.093002834,batmanc
batmanc_181,5.699047619,"[643.1618945840688, 1679.3270156590809, 2594.902706483639, 3545.0161331424915]",0.162617505,2.407741361,5.264037433,2.456550802,1.052807487,89.66567617,278.6964642,0.123006936,0.026835236,-0.135324561,-8.105253,1835.224133,0.119935308,batmanc
batmanc_19,0.927346939,"[658.48247202468, 1952.865439918256, 2749.4840075681523, 3678.1939586509557]",0.145678711,3.044360166,5.391725352,5.391725352,1.07834507,89.30943943,171.54979,0.145088372,0.031539723,-0.143306135,-4.834795,2034.887695,0.025335136,batmanc
batmanc_2,2.634013605,"[705.0434135872349, 1729.0686378043117, 2595.6294596703397, 3616.8371906000157]",0.139952542,3.833789895,5.315082645,3.037190083,0.759297521,93.48206572,176.8106462,0.108182451,0.024053515,-0.095551498,-6.027044,1837.311112,0.037834559,batmanc
batmanc_20,0.953469388,"[659.7415817093396, 2044.6798516027939, 2732.6504827079807, 3696.9799857314433]",0.158772786,6.587665927,4.195205479,3.14640411,1.04880137,109.7770747,64.86520906,0.11142863,0.032943887,-0.139849876,-7.581702,2047.961426,0.020386114,batmanc
batmanc_21,1.313378685,"[640.244677503108, 1921.9027774080669, 2751.765169155607, 3650.0673543352937]",0.143811678,5.314105207,6.091160221,4.568370166,1.522790055,92.63709456,40.52418109,0.117258075,0.032040793,-0.118706897,-6.4774046,1961.977025,0.023983196,batmanc
batmanc_22,1.069569161,"[761.3857833998825, 2022.2922643921418, 2681.839262076286, 3722.7486389023807]",0.153569648,4.115966514,3.739823609,2.804867707,0.934955902,94.84336267,176.4941534,0.116426837,0.029546645,-0.153633953,-6.923021,1888.278653,0.03270125,batmanc
batmanc_23,1.153741497,"[658.4629960580181, 1845.4126332068568, 2739.790475883101, 3730.893289742641]",0.126318359,6.453256345,5.200471698,3.466981132,0.866745283,108.0123312,85.39470914,0.128191077,0.037063283,-0.171624975,-6.232466,1457.58252,0.028550585,batmanc
batmanc_24,0.965079365,"[733.8347877812605, 1918.807150115042, 2609.2656122125004, 3619.793431990733]",0.164178757,3.755711658,5.180921053,5.180921053,1.036184211,141.792665,476.4619408,0.131568358,0.03520693,-0.157804625,-7.032873,2330.200195,0.025812403,batmanc
batmanc_25,6.345351474,"[707.8282327796179, 1815.479629370585, 2716.457625060552, 3364.1711699146776]",0.169462107,3.814934143,4.412679127,3.151913662,0.630382732,84.48461194,521.9283984,0.125958631,0.027403275,-0.096529234,-6.4603963,2048.876419,0.09007106,batmanc
